matchday,date,time,group,team_a,team_b,ground
1,2026-06-11,13:00 UTC-6,A,Mexico,South Africa,Mexico City
1,2026-06-11,20:00 UTC-6,A,South Korea,Czech Republic,Guadalajara (Zapopan)
8,2026-06-18,12:00 UTC-4,A,Czech Republic,South Africa,Atlanta
8,2026-06-18,19:00 UTC-6,A,Mexico,South Korea,Guadalajara (Zapopan)
14,2026-06-24,19:00 UTC-6,A,Czech Republic,Mexico,Mexico City
14,2026-06-24,19:00 UTC-6,A,South Africa,South Korea,Monterrey (Guadalupe)
2,2026-06-12,15:00 UTC-4,B,Canada,Bosnia and Herzegovina,Toronto
3,2026-06-13,12:00 UTC-7,B,Qatar,Switzerland,San Francisco Bay Area (Santa Clara)
8,2026-06-18,12:00 UTC-7,B,Switzerland,Bosnia and Herzegovina,Los Angeles (Inglewood)
8,2026-06-18,15:00 UTC-7,B,Canada,Qatar,Vancouver
14,2026-06-24,12:00 UTC-7,B,Switzerland,Canada,Vancouver
14,2026-06-24,12:00 UTC-7,B,Bosnia and Herzegovina,Qatar,Seattle
3,2026-06-13,18:00 UTC-4,C,Brazil,Morocco,New York/New Jersey (East Rutherford)
3,2026-06-13,21:00 UTC-4,C,Haiti,Scotland,Boston (Foxborough)
9,2026-06-19,18:00 UTC-4,C,Scotland,Morocco,Boston (Foxborough)
9,2026-06-19,20:30 UTC-4,C,Brazil,Haiti,Philadelphia
14,2026-06-24,18:00 UTC-4,C,Scotland,Brazil,Miami (Miami Gardens)
14,2026-06-24,18:00 UTC-4,C,Morocco,Haiti,Atlanta
2,2026-06-12,18:00 UTC-7,D,United States,Paraguay,Los Angeles (Inglewood)
3,2026-06-13,21:00 UTC-7,D,Australia,Turkey,Vancouver
9,2026-06-19,12:00 UTC-7,D,United States,Australia,Seattle
9,2026-06-19,20:00 UTC-7,D,Turkey,Paraguay,San Francisco Bay Area (Santa Clara)
15,2026-06-25,19:00 UTC-7,D,Turkey,United States,Los Angeles (Inglewood)
15,2026-06-25,19:00 UTC-7,D,Paraguay,Australia,San Francisco Bay Area (Santa Clara)
4,2026-06-14,12:00 UTC-5,E,Germany,Curaçao,Houston
4,2026-06-14,19:00 UTC-4,E,Ivory Coast,Ecuador,Philadelphia
10,2026-06-20,16:00 UTC-4,E,Germany,Ivory Coast,Toronto
10,2026-06-20,19:00 UTC-5,E,Ecuador,Curaçao,Kansas City
15,2026-06-25,16:00 UTC-4,E,Curaçao,Ivory Coast,Philadelphia
15,2026-06-25,16:00 UTC-4,E,Ecuador,Germany,New York/New Jersey (East Rutherford)
4,2026-06-14,15:00 UTC-5,F,Netherlands,Japan,Dallas (Arlington)
4,2026-06-14,20:00 UTC-6,F,Sweden,Tunisia,Monterrey (Guadalupe)
10,2026-06-20,12:00 UTC-5,F,Netherlands,Sweden,Houston
10,2026-06-20,22:00 UTC-6,F,Tunisia,Japan,Monterrey (Guadalupe)
15,2026-06-25,18:00 UTC-5,F,Japan,Sweden,Dallas (Arlington)
15,2026-06-25,18:00 UTC-5,F,Tunisia,Netherlands,Kansas City
5,2026-06-15,12:00 UTC-7,G,Belgium,Egypt,Seattle
5,2026-06-15,18:00 UTC-7,G,Iran,New Zealand,Los Angeles (Inglewood)
11,2026-06-21,12:00 UTC-7,G,Belgium,Iran,Los Angeles (Inglewood)
11,2026-06-21,18:00 UTC-7,G,New Zealand,Egypt,Vancouver
16,2026-06-26,20:00 UTC-7,G,Egypt,Iran,Seattle
16,2026-06-26,20:00 UTC-7,G,New Zealand,Belgium,Vancouver
5,2026-06-15,12:00 UTC-4,H,Spain,Cape Verde,Atlanta
5,2026-06-15,18:00 UTC-4,H,Saudi Arabia,Uruguay,Miami (Miami Gardens)
11,2026-06-21,12:00 UTC-4,H,Spain,Saudi Arabia,Atlanta
11,2026-06-21,18:00 UTC-4,H,Uruguay,Cape Verde,Miami (Miami Gardens)
16,2026-06-26,19:00 UTC-5,H,Cape Verde,Saudi Arabia,Houston
16,2026-06-26,18:00 UTC-6,H,Uruguay,Spain,Guadalajara (Zapopan)
6,2026-06-16,15:00 UTC-4,I,France,Senegal,New York/New Jersey (East Rutherford)
6,2026-06-16,18:00 UTC-4,I,Iraq,Norway,Boston (Foxborough)
12,2026-06-22,17:00 UTC-4,I,France,Iraq,Philadelphia
12,2026-06-22,20:00 UTC-4,I,Norway,Senegal,New York/New Jersey (East Rutherford)
16,2026-06-26,15:00 UTC-4,I,Norway,France,Boston (Foxborough)
16,2026-06-26,15:00 UTC-4,I,Senegal,Iraq,Toronto
6,2026-06-16,20:00 UTC-5,J,Argentina,Algeria,Kansas City
6,2026-06-16,21:00 UTC-7,J,Austria,Jordan,San Francisco Bay Area (Santa Clara)
12,2026-06-22,12:00 UTC-5,J,Argentina,Austria,Dallas (Arlington)
12,2026-06-22,20:00 UTC-7,J,Jordan,Algeria,San Francisco Bay Area (Santa Clara)
17,2026-06-27,21:00 UTC-5,J,Algeria,Austria,Kansas City
17,2026-06-27,21:00 UTC-5,J,Jordan,Argentina,Dallas (Arlington)
7,2026-06-17,12:00 UTC-5,K,Portugal,DR Congo,Houston
7,2026-06-17,20:00 UTC-6,K,Uzbekistan,Colombia,Mexico City
13,2026-06-23,12:00 UTC-5,K,Portugal,Uzbekistan,Houston
13,2026-06-23,20:00 UTC-6,K,Colombia,DR Congo,Guadalajara (Zapopan)
17,2026-06-27,19:30 UTC-4,K,Colombia,Portugal,Miami (Miami Gardens)
17,2026-06-27,19:30 UTC-4,K,DR Congo,Uzbekistan,Atlanta
7,2026-06-17,15:00 UTC-5,L,England,Croatia,Dallas (Arlington)
7,2026-06-17,19:00 UTC-4,L,Ghana,Panama,Toronto
13,2026-06-23,16:00 UTC-4,L,England,Ghana,Boston (Foxborough)
13,2026-06-23,19:00 UTC-4,L,Panama,Croatia,Toronto
17,2026-06-27,17:00 UTC-4,L,Panama,England,New York/New Jersey (East Rutherford)
17,2026-06-27,17:00 UTC-4,L,Croatia,Ghana,Philadelphia
