world_cup_year,date,stage,home_team,away_team,score_original_home,score_original_away,score_90_home,score_90_away,has_extra_time,has_penalty_shootout,score_corrected,city,country,neutral,verification_source,verification_note
2014,2014-06-28,Round of 16,Brazil,Chile,1,1,1,1,True,True,False,Belo Horizonte,Brazil,False,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-06-29,Round of 16,Costa Rica,Greece,1,1,1,1,True,True,False,Recife,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-06-30,Round of 16,Germany,Algeria,2,1,0,0,True,False,True,Porto Alegre,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-07-01,Round of 16,Argentina,Switzerland,1,0,0,0,True,False,True,São Paulo,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-07-01,Round of 16,Belgium,United States,2,1,0,0,True,False,True,Salvador,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-07-05,Quarter-finals,Netherlands,Costa Rica,0,0,0,0,True,True,False,Salvador,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-07-09,Semi-finals,Netherlands,Argentina,0,0,0,0,True,True,False,São Paulo,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-07-13,Final,Germany,Argentina,1,0,0,0,True,False,True,Rio de Janeiro,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2018,2018-07-01,Round of 16,Croatia,Denmark,1,1,1,1,True,True,False,Nizhny Novgorod,Russia,True,https://github.com/openfootball/worldcup.json/blob/master/2018/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2018,2018-07-01,Round of 16,Russia,Spain,1,1,1,1,True,True,False,Moscow,Russia,False,https://github.com/openfootball/worldcup.json/blob/master/2018/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2018,2018-07-03,Round of 16,Colombia,England,1,1,1,1,True,True,False,Moscow,Russia,True,https://github.com/openfootball/worldcup.json/blob/master/2018/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2018,2018-07-07,Quarter-finals,Russia,Croatia,2,2,1,1,True,True,True,Sochi,Russia,False,https://github.com/openfootball/worldcup.json/blob/master/2018/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2018,2018-07-11,Semi-finals,Croatia,England,2,1,1,1,True,False,True,Moscow,Russia,True,https://github.com/openfootball/worldcup.json/blob/master/2018/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2022,2022-12-05,Round of 16,Japan,Croatia,1,1,1,1,True,True,False,Al Wakrah,Qatar,True,https://github.com/openfootball/worldcup.json/blob/master/2022/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2022,2022-12-06,Round of 16,Morocco,Spain,0,0,0,0,True,True,False,Al Rayyan,Qatar,True,https://github.com/openfootball/worldcup.json/blob/master/2022/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2022,2022-12-09,Quarter-finals,Croatia,Brazil,1,1,0,0,True,True,True,Al Rayyan,Qatar,True,https://github.com/openfootball/worldcup.json/blob/master/2022/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2022,2022-12-09,Quarter-finals,Netherlands,Argentina,2,2,2,2,True,True,False,Lusail,Qatar,True,https://github.com/openfootball/worldcup.json/blob/master/2022/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2022,2022-12-18,Final,Argentina,France,3,3,2,2,True,True,True,Lusail,Qatar,True,https://github.com/openfootball/worldcup.json/blob/master/2022/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
